"date","song","artist","index"
1994-01-22,"All For Love","Bryan Adams/Rod Stewart/Sting",0
1994-03-12,"The Sign","Ace Of Base",0
1994-04-09,"Bump N Grind","R. Kelly",0
1994-05-21,"I Swear","All-4-One",0
1994-08-06,"Stay (I Missed You) (From Reality Bites)","Lisa Loeb",0
1994-08-27,"I ll Make Love To You","Boyz II Men",0
1994-12-03,"On Bended Knee","Boyz II Men",0
1994-12-17,"Here Comes The Hotstepper (From Ready To Wear)","Ini Kamoze",0
1995-01-28,"Creep","TLC",427
1995-02-25,"Take A Bow","Madonna",0
1995-04-15,"This Is How We Do It","Montell Jordan",0
1995-06-03,"Have You Ever Really Loved A Woman?","Bryan Adams",0
1995-07-08,"Waterfalls","TLC",424
1995-08-26,"Kiss From A Rose (From Batman Forever)","Seal",0
1995-09-02,"You Are Not Alone","Michael Jackson",0
1995-09-09,"Gangsta's Paradise (From Dangerous Minds)","Coolio Featuring L.V.",0
1995-09-30,"Fantasy","Mariah Carey",0
1995-11-25,"Exhale (Shoop Shoop) (From Waiting To Exhale)","Whitney Houston",0
1995-12-02,"One Sweet Day","Mariah Carey & Boyz II Men",0
1996-03-23,"Because You Loved Me (From Up Close & Personal)","Celine Dion",0
1996-05-04,"Always Be My Baby","Mariah Carey",0
1996-05-18,"Tha Crossroads","Bone Thugs-N-Harmony",0
1996-07-13,"How Do U Want It/California Love","2Pac Featuring KC And JoJo",0
1996-07-27,"You're Makin' Me High/Let It Flow","Toni Braxton",0
1996-08-03,"Macarena (Bayside Boys Mix)","Los Del Rio",0
1996-11-09,"No Diggity","BLACKstreet (Featuring Dr. Dre)",453
1996-12-07,"Un-Break My Heart","Toni Braxton",0
1997-02-22,"Wannabe","Spice Girls",487
1997-03-22,"Can't Nobody Hold Me Down","Puff Daddy (Featuring Mase)",0
1997-05-03,"Hypnotize","The Notorious B.I.G.",484
1997-05-24,"Mmmbop","Hanson",473
1997-06-14,"I'll Be Missing You","Puff Daddy & Faith Evans Featuring 112",0
1997-06-28,"I ll Be Missing You","Puff Daddy",0
1997-08-30,"Mo Money Mo Problems","The Notorious B.I.G. Featuring Puff Daddy & Mase",482
1997-09-13,"Honey","Mariah Carey",0
1997-10-04,"4 Seasons Of Loneliness","Boyz II Men",0
1997-10-11,"Candle In The Wind 1997/Something About The Way You Look Tonight","Elton John",0
1998-01-17,"Truly Madly Deeply","Savage Garden",0
1998-01-31,"Together Again","Janet",0
1998-02-14,"Nice & Slow","Usher",0
1998-02-28,"My Heart Will Go On","Celine Dion",0
1998-03-14,"Gettin' Jiggy Wit It","Will Smith",0
1998-04-04,"All My Life","K-Ci & JoJo",0
1998-04-25,"Too Close","Next",0
1998-05-23,"My All","Mariah Carey",0
1998-06-06,"The Boy Is Mine","Brandy",512
